annee	groupe	identifiant	sexe	poids	taille	rythmcard	age	baccalaureat	mention	hmental	hmoteur	hsensoriel	pblesocial	pratique	sport	niveau	mecriture	mfourchette	pballon	oeil	rotation	pappui
2009	A	5	masculin	66	180	64	29/06/89	ES	P	1	0	0	1	oui	basket	competition	gauche	gauche	gauche	gauche	droit	droit
2009	A	6	masculin	69	175	60	NA	NA	NA	0	1	0	1	oui	football	competition	droite	droite	droit	droit	gauche	gauche
2009	A	7	masculin	65	180	60	30/03/89	ES	AB	1	1	0	1	oui	rock	loisir	gauche	gauche	gauche	gauche	gauche	gauche
2009	A	8	masculin	80	183	56	10/03/89	NA	P	1	1	1	0	oui	escalade	loisir	gauche	gauche	droit	droit	gauche	droit
2009	A	9	masculin	70	180	68	04/02/86	S	P	1	1	1	0	oui	athletisme	competition	droite	droite	droit	gauche	droit	gauche
2009	A	10	feminin	54	176	64	NA	S	B	0	0	1	0	non	NA	NA	droite	droite	droit	droit	droit	droit
2009	A	11	masculin	65	172	65	03/12/84	STT	P	0	1	0	0	oui	escalade	loisir	droite	NA	droit	NA	gauche	gauche
2009	A	12	masculin	90	190	70	26/06/86	STL	NA	0	1	0	0	oui	tennis	competition	droite	droite	gauche	droit	droit	gauche
2009	A	13	masculin	82	177	57	03/08/88	SMS	NA	0	0	0	1	oui	boxe_France	competition	droite	droite	gauche	gauche	gauche	droit
2009	A	14	masculin	72	177	70	10/07/87	S	P	0	1	1	0	non	NA	loisir	droite	droite	droit	droit	droit	droit
2009	A	15	masculin	65	173	64	03/12/89	S	P	0	1	1	0	oui	volleyball	loisir	droite	droite	droit	gauche	gauche	gauche
2009	A	16	feminin	58	162	72	17/04/89	S	P	1	1	1	1	non	NA	loisir	gauche	gauche	gauche	gauche	droit	droit
2009	A	17	masculin	58	170	65	12/04/89	S	AB	1	0	0	1	non	NA	loisir	droite	droite	droit	droit	gauche	NA
2009	A	18	masculin	76	179	75	26/04/89	S	AB	1	1	0	0	oui	football	competition	gauche	gauche	droit	gauche	gauche	gauche
2009	A	19	masculin	82	180	84	10/05/88	ES	P	0	1	1	0	oui	handball	competition	gauche	gauche	droit	gauche	droit	droit
2009	A	20	feminin	53	168	61	10/06/89	STL	AB	0	1	0	0	non	NA	loisir	droite	gauche	droit	NA	gauche	droit
2009	A	21	masculin	65	183	72	05/05/10	STI	NA	0	1	0	0	oui	basket	competition	droite	droite	droit	droit	gauche	droit
2009	A	22	feminin	80	176	70	05/10/86	S	NA	1	0	0	1	oui	volleyball	competition	droite	droite	droit	gauche	droit	droit
2009	A	23	feminin	53	162	88	05/12/85	S	P	1	1	1	0	oui	gymnastique	competition	droite	droite	droit	droit	droit	droit
2009	A	24	feminin	75	167	84	15/08/88	STG	P	1	0	1	0	oui	natation	competition	droite	gauche	droit	droit	droit	droit
